 INFO  Accepting connections at http://localhost:3000
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/mock/mock-data.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/mock/register-mocks.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /css/app.css
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /core/app.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /core/domain-registry.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/debug/logger.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 0 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/capabilities/capability-registry.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /domains/piping/index.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/tabs/viewer-tab.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/tabs/debug-tab.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/renderer/scene-renderer.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/ui/toolbar.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /domains/piping/parser.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /domains/piping/dxf-importer.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /domains/piping/geometry-builder.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /domains/piping/symbol-library.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /domains/piping/info-panel.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/glb/exportToDXF.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/glb/exportSceneToGLB.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/ui/heatmap.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /core/component-model.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/vendor/splitPcfBlocks.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/vendor/parsePcfText.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/vendor/normalizePcfModel.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 9 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 8 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 7 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 7 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /geometry/symbols.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/vendor/buildDraftingScene.js
 HTTP  4/23/2026 10:32:19 AM ::1 GET /geometry/labels.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /geometry/pipe-geometry.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /core/state.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/mock/mock-data.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:19 AM ::1 GET /js/mock/register-mocks.js
 HTTP  4/23/2026 10:32:19 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /css/app.css
 HTTP  4/23/2026 10:32:20 AM ::1 GET /core/app.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /core/domain-registry.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/debug/logger.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/capabilities/capability-registry.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /domains/piping/index.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/tabs/viewer-tab.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/tabs/debug-tab.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/renderer/scene-renderer.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/ui/toolbar.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /domains/piping/parser.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /domains/piping/dxf-importer.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /domains/piping/geometry-builder.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /domains/piping/symbol-library.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /domains/piping/info-panel.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/glb/exportSceneToGLB.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 8 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 8 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 7 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 8 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/ui/heatmap.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 9 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /core/component-model.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/glb/exportToDXF.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/vendor/splitPcfBlocks.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/vendor/parsePcfText.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/vendor/normalizePcfModel.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /geometry/symbols.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/vendor/buildDraftingScene.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /geometry/labels.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /geometry/pipe-geometry.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 5 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /core/state.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 5 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/mock/mock-data.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/mock/register-mocks.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /css/app.css
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /core/app.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /core/domain-registry.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/debug/logger.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/capabilities/capability-registry.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /domains/piping/index.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/tabs/viewer-tab.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/tabs/debug-tab.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 6 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 6 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 6 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 6 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/renderer/scene-renderer.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/ui/toolbar.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /domains/piping/parser.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /domains/piping/dxf-importer.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /domains/piping/geometry-builder.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /domains/piping/symbol-library.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /domains/piping/info-panel.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/glb/exportToDXF.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 6 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 6 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/glb/exportSceneToGLB.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/ui/heatmap.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /core/component-model.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/vendor/splitPcfBlocks.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/vendor/parsePcfText.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/vendor/normalizePcfModel.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /js/vendor/buildDraftingScene.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /geometry/labels.js
 HTTP  4/23/2026 10:32:20 AM ::1 GET /geometry/symbols.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /geometry/pipe-geometry.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:20 AM ::1 GET /core/state.js
 HTTP  4/23/2026 10:32:20 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/mock/mock-data.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/mock/register-mocks.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /css/app.css
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /core/app.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 0 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /core/domain-registry.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/debug/logger.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/capabilities/capability-registry.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /domains/piping/index.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/tabs/viewer-tab.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/tabs/debug-tab.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /domains/piping/parser.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /domains/piping/dxf-importer.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /domains/piping/geometry-builder.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /domains/piping/symbol-library.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /domains/piping/info-panel.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/renderer/scene-renderer.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/ui/toolbar.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/vendor/splitPcfBlocks.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/vendor/parsePcfText.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/vendor/normalizePcfModel.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /core/component-model.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/vendor/buildDraftingScene.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /geometry/labels.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /geometry/symbols.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/glb/exportToDXF.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/glb/exportSceneToGLB.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/ui/heatmap.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /geometry/pipe-geometry.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /core/state.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/mock/mock-data.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/mock/register-mocks.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 4 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /css/app.css
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /core/app.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /core/domain-registry.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/debug/logger.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/capabilities/capability-registry.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /domains/piping/index.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/tabs/viewer-tab.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/tabs/debug-tab.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/renderer/scene-renderer.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/ui/toolbar.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /domains/piping/parser.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /domains/piping/dxf-importer.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /domains/piping/geometry-builder.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /domains/piping/symbol-library.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /domains/piping/info-panel.js
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/glb/exportSceneToGLB.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 4 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:21 AM ::1 GET /js/ui/heatmap.js
 HTTP  4/23/2026 10:32:21 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /core/component-model.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/glb/exportToDXF.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 5 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 6 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/vendor/splitPcfBlocks.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/vendor/parsePcfText.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/vendor/normalizePcfModel.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/vendor/buildDraftingScene.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /geometry/labels.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /geometry/symbols.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /geometry/pipe-geometry.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 5 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 5 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 6 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /core/state.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/mock/mock-data.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 0 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/mock/register-mocks.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /css/app.css
 HTTP  4/23/2026 10:32:22 AM ::1 GET /core/app.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /core/domain-registry.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/debug/logger.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/capabilities/capability-registry.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /domains/piping/index.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/tabs/viewer-tab.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/tabs/debug-tab.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/renderer/scene-renderer.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/ui/toolbar.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /domains/piping/parser.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /domains/piping/dxf-importer.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /domains/piping/geometry-builder.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /domains/piping/symbol-library.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 4 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 4 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /domains/piping/info-panel.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/glb/exportSceneToGLB.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/ui/heatmap.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /core/component-model.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/glb/exportToDXF.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 6 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 6 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/vendor/splitPcfBlocks.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/vendor/parsePcfText.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 1 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 2 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/vendor/normalizePcfModel.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 0 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /geometry/symbols.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /js/vendor/buildDraftingScene.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 3 ms
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 4 ms
 HTTP  4/23/2026 10:32:22 AM ::1 GET /geometry/labels.js
 HTTP  4/23/2026 10:32:22 AM ::1 GET /geometry/pipe-geometry.js
 HTTP  4/23/2026 10:32:22 AM ::1 Returned 200 in 3 ms
